table_name,column_name,data_type,column_default,is_nullable
audit_logs,id,uuid,gen_random_uuid(),NO
audit_logs,user_id,uuid,null,YES
audit_logs,action,text,null,NO
audit_logs,entity_type,text,null,NO
audit_logs,entity_id,uuid,null,YES
audit_logs,old_value,jsonb,null,YES
audit_logs,new_value,jsonb,null,YES
audit_logs,ip_address,text,null,YES
audit_logs,user_agent,text,null,YES
audit_logs,created_at,timestamp with time zone,now(),YES
categories,id,uuid,gen_random_uuid(),NO
categories,name,text,null,NO
categories,description,text,null,YES
categories,assignment,text,'all'::text,YES
categories,deadline,timestamp with time zone,null,YES
categories,status,text,'active'::text,YES
categories,priority,integer,null,YES
categories,created_at,timestamp with time zone,now(),NO
categories,updated_at,timestamp with time zone,now(),NO
categories,archived,boolean,false,YES
categories,column_count,integer,0,YES
columns,id,uuid,gen_random_uuid(),NO
columns,category_id,uuid,null,YES
columns,name,text,null,NO
columns,type,text,null,NO
columns,is_required,boolean,true,YES
columns,placeholder,text,null,YES
columns,help_text,text,null,YES
columns,order_index,integer,0,YES
columns,status,text,'active'::text,YES
columns,validation,jsonb,null,YES
columns,default_value,text,null,YES
columns,options,jsonb,null,YES
columns,created_at,timestamp with time zone,now(),NO
columns,updated_at,timestamp with time zone,now(),NO
data_entries,id,uuid,gen_random_uuid(),NO
data_entries,school_id,uuid,null,NO
data_entries,category_id,uuid,null,NO
data_entries,column_id,uuid,null,NO
data_entries,value,text,null,YES
data_entries,status,text,'pending'::text,YES
data_entries,created_at,timestamp with time zone,now(),NO
data_entries,updated_at,timestamp with time zone,now(),NO
data_entries,created_by,uuid,null,YES
data_entries,approved_by,uuid,null,YES
data_entries,approved_at,timestamp with time zone,null,YES
data_entries,rejected_by,uuid,null,YES
data_entries,rejection_reason,text,null,YES
notifications,id,uuid,gen_random_uuid(),NO
notifications,user_id,uuid,null,NO
notifications,type,text,null,NO
notifications,title,text,null,NO
notifications,message,text,null,YES
notifications,related_entity_id,uuid,null,YES
notifications,related_entity_type,text,null,YES
notifications,is_read,boolean,false,YES
notifications,priority,text,'normal'::text,YES
notifications,created_at,timestamp with time zone,now(),NO
profiles,id,uuid,null,NO
profiles,full_name,text,null,NO
profiles,avatar,text,null,YES
profiles,phone,text,null,YES
profiles,position,text,null,YES
profiles,language,text,'az'::text,YES
profiles,last_login,timestamp with time zone,null,YES
profiles,created_at,timestamp with time zone,now(),NO
profiles,updated_at,timestamp with time zone,now(),NO
profiles,status,text,'active'::text,YES
profiles,email,text,null,YES
regions,id,uuid,gen_random_uuid(),NO
regions,name,text,null,NO
regions,description,text,null,YES
regions,created_at,timestamp with time zone,now(),NO
regions,updated_at,timestamp with time zone,now(),NO
regions,status,text,'active'::text,YES
regions,admin_id,uuid,null,YES
regions,admin_email,text,null,YES
schools,id,uuid,gen_random_uuid(),NO
schools,name,text,null,NO
schools,principal_name,text,null,YES
schools,address,text,null,YES
schools,region_id,uuid,null,NO
schools,sector_id,uuid,null,NO
schools,phone,text,null,YES
schools,email,text,null,YES
schools,student_count,integer,null,YES
schools,teacher_count,integer,null,YES
schools,status,text,'active'::text,YES
schools,type,text,null,YES
schools,language,text,null,YES
schools,created_at,timestamp with time zone,now(),NO
schools,updated_at,timestamp with time zone,now(),NO
schools,completion_rate,integer,0,YES
schools,logo,text,null,YES
schools,admin_email,text,null,YES
schools,admin_id,uuid,null,YES
sectors,id,uuid,gen_random_uuid(),NO
sectors,region_id,uuid,null,NO
sectors,name,text,null,NO
sectors,description,text,null,YES